City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
160,fisterra,42.9049,-9.2629,53.02,79,2,17.18,ES,1703275328
161,bubaque,11.2833,-15.8333,78.21,55,6,9.69,GW,1703275330
162,ankang,32.68,109.0172,33.24,61,0,0.96,CN,1703275331
163,pangoa,-12.1167,-73.0,85.12,62,99,3.11,PE,1703275332
164,valley city,46.9233,-98.0032,43.32,75,0,4.61,US,1703275334
165,saint-joseph,-21.3667,55.6167,77.38,81,9,3.6,RE,1703275335
166,barda,40.3744,47.1267,33.08,44,98,4.47,AZ,1703275337
167,nanyamba,-10.6833,39.8333,73.9,96,99,4.03,TZ,1703275338
168,lodwar,3.1191,35.5973,87.57,37,10,14.0,KE,1703275340
169,abepura,-2.6333,140.5833,74.21,100,40,2.3,ID,1703275341
170,acarau,-2.8856,-40.12,83.68,67,91,21.14,BR,1703275342
171,nova vicosa,-17.8919,-39.3719,81.16,80,60,13.87,BR,1703275114
172,roma,43.2128,-75.4557,36.09,66,0,5.75,US,1703275079
173,cabedelo,-6.9811,-34.8339,84.87,71,39,14.03,BR,1703275347
174,flying fish cove,-10.4217,105.6791,74.88,94,40,3.44,CX,1703275348
175,nouadhibou,20.931,-17.0347,66.18,55,54,9.22,MR,1703275350
176,ambalangoda,6.2355,80.0538,78.91,85,100,4.68,LK,1703275351
177,surin,14.8818,103.4936,57.51,72,100,15.08,TH,1703275353
178,guerrero negro,27.9769,-114.0611,70.18,70,80,14.29,MX,1703275354
179,wailua homesteads,22.0669,-159.378,73.83,88,100,1.99,US,1703275355
180,debre birhan,9.6833,39.5333,50.45,82,2,4.7,ET,1703275358
181,newman,37.3138,-121.0208,62.04,49,7,5.99,US,1703275206
182,hadibu,12.65,54.0333,76.71,71,53,9.17,YE,1703275360
183,benguela,-12.5763,13.4055,79.56,86,100,1.34,AO,1703275362
184,lianzhou,24.7811,112.3825,37.92,53,99,4.41,CN,1703275363
185,amungan,15.3652,119.9582,78.6,63,76,8.9,PH,1703275365
186,mount gambier,-37.8333,140.7667,49.95,86,65,6.35,AU,1703275366
